experiment_name,phase,model_family,model_family_display,input_mode,loss_mode,optimizer,latent_dim,run_dir,config_path,checkpoint_path,metrics_path,analysis_metrics_path,curves_path,predictions_path,has_checkpoint,has_metrics_json,has_analysis_metrics,logical_group,eval_loss,weighted_residual_mean,reconstruction_mse,amplitude_rmse,timing_rmse,of_reference_amplitude_rmse,of_reference_timing_rmse,best_epoch
ae_prewhite_mahalanobis_l40s_run01,ae_2x2,ae,AE,prewhitened,mahalanobis,adamw,256.0,ae_prewhite_mahalanobis_l40s_run01,ae_prewhite_mahalanobis_l40s_run01/config.yaml,ae_prewhite_mahalanobis_l40s_run01/checkpoint_best.pt,ae_prewhite_mahalanobis_l40s_run01/metrics.json,ae_prewhite_mahalanobis_l40s_run01/analysis_metrics.json,ae_prewhite_mahalanobis_l40s_run01/curves.csv,ae_prewhite_mahalanobis_l40s_run01/predictions_test.h5,True,True,True,ae_2x2|ae|prewhitened|mahalanobis,648443096098406.4,648443096098406.4,31185942.3,10421.680981574847,20317.908798270884,10410.060756100233,16283.0,
ae_prewhite_mahalanobis_l40s_run02,ae_2x2,ae,AE,prewhitened,mahalanobis,adamw,256.0,ae_prewhite_mahalanobis_l40s_run02,ae_prewhite_mahalanobis_l40s_run02/config.yaml,ae_prewhite_mahalanobis_l40s_run02/checkpoint_best.pt,ae_prewhite_mahalanobis_l40s_run02/metrics.json,ae_prewhite_mahalanobis_l40s_run02/analysis_metrics.json,ae_prewhite_mahalanobis_l40s_run02/curves.csv,ae_prewhite_mahalanobis_l40s_run02/predictions_test.h5,True,True,True,ae_2x2|ae|prewhitened|mahalanobis,1667280.86875,1667280.86875,28976765.7,20.461093732894348,4034.9088123250694,8.6527406792178,0.0,
ae_prewhite_mahalanobis_smoke_l40s,ae_2x2,ae,AE,prewhitened,mahalanobis,adamw,256.0,ae_prewhite_mahalanobis_smoke_l40s,ae_prewhite_mahalanobis_smoke_l40s/config.yaml,ae_prewhite_mahalanobis_smoke_l40s/checkpoint_best.pt,ae_prewhite_mahalanobis_smoke_l40s/metrics.json,ae_prewhite_mahalanobis_smoke_l40s/analysis_metrics.json,ae_prewhite_mahalanobis_smoke_l40s/curves.csv,ae_prewhite_mahalanobis_smoke_l40s/predictions_test.h5,True,True,True,ae_2x2|ae|prewhitened|mahalanobis,724159403393024.0,724159403393024.0,30821350.666666668,10417.10012331571,2764.128225345895,10405.901349808239,6799.0,
ae_prewhite_mse_l40s_run01,ae_2x2,ae,AE,prewhitened,mse,adamw,256.0,ae_prewhite_mse_l40s_run01,ae_prewhite_mse_l40s_run01/config.yaml,ae_prewhite_mse_l40s_run01/checkpoint_best.pt,ae_prewhite_mse_l40s_run01/metrics.json,ae_prewhite_mse_l40s_run01/analysis_metrics.json,ae_prewhite_mse_l40s_run01/curves.csv,ae_prewhite_mse_l40s_run01/predictions_test.h5,True,True,True,ae_2x2|ae|prewhitened|mse,278.84947662353517,143361773568.0,278.84947662353517,40.98105665902016,4034.9088123250694,29.253346880230342,0.0,
ae_prewhite_mse_l40s_run02,ae_2x2,ae,AE,prewhitened,mse,adamw,256.0,ae_prewhite_mse_l40s_run02,ae_prewhite_mse_l40s_run02/config.yaml,ae_prewhite_mse_l40s_run02/checkpoint_best.pt,ae_prewhite_mse_l40s_run02/metrics.json,ae_prewhite_mse_l40s_run02/analysis_metrics.json,ae_prewhite_mse_l40s_run02/curves.csv,ae_prewhite_mse_l40s_run02/predictions_test.h5,True,True,True,ae_2x2|ae|prewhitened|mse,426.0134994506836,1097557.0375,426.0134994506836,43.305900429330336,4034.9088123250694,31.578725371780127,0.0,
ae_prewhite_mse_smoke_l40s,ae_2x2,ae,AE,prewhitened,mse,adamw,256.0,ae_prewhite_mse_smoke_l40s,ae_prewhite_mse_smoke_l40s/config.yaml,ae_prewhite_mse_smoke_l40s/checkpoint_best.pt,ae_prewhite_mse_smoke_l40s/metrics.json,ae_prewhite_mse_smoke_l40s/analysis_metrics.json,ae_prewhite_mse_smoke_l40s/curves.csv,ae_prewhite_mse_smoke_l40s/predictions_test.h5,True,True,True,ae_2x2|ae|prewhitened|mse,1870275.0416666667,1.4093994953452202e+16,1870275.0416666667,1783.261788236869,4030.8718087358643,1772.0610840373035,4.0,
ae_raw_mahalanobis_l40s_run01,ae_2x2,ae,AE,raw,mahalanobis,adamw,256.0,ae_raw_mahalanobis_l40s_run01,ae_raw_mahalanobis_l40s_run01/config.yaml,ae_raw_mahalanobis_l40s_run01/checkpoint_best.pt,ae_raw_mahalanobis_l40s_run01/metrics.json,ae_raw_mahalanobis_l40s_run01/analysis_metrics.json,ae_raw_mahalanobis_l40s_run01/curves.csv,ae_raw_mahalanobis_l40s_run01/predictions_test.h5,True,True,True,ae_2x2|ae|raw|mahalanobis,6.212919623889715e+16,6.212919623889715e+16,39793099.4,9790.050215001083,4025.908812364273,9778.429965833182,9.0,
ae_raw_mahalanobis_l40s_run02,ae_2x2,ae,AE,raw,mahalanobis,adamw,256.0,ae_raw_mahalanobis_l40s_run02,ae_raw_mahalanobis_l40s_run02/config.yaml,ae_raw_mahalanobis_l40s_run02/checkpoint_best.pt,ae_raw_mahalanobis_l40s_run02/metrics.json,ae_raw_mahalanobis_l40s_run02/analysis_metrics.json,ae_raw_mahalanobis_l40s_run02/curves.csv,ae_raw_mahalanobis_l40s_run02/predictions_test.h5,True,True,True,ae_2x2|ae|raw|mahalanobis,1644402.86875,1644402.86875,23933668.4,3.669251545548845,4034.9088123250694,13.10623103733836,0.0,
ae_raw_mahalanobis_smoke_l40s,ae_2x2,ae,AE,raw,mahalanobis,adamw,256.0,ae_raw_mahalanobis_smoke_l40s,ae_raw_mahalanobis_smoke_l40s/config.yaml,ae_raw_mahalanobis_smoke_l40s/checkpoint_best.pt,ae_raw_mahalanobis_smoke_l40s/metrics.json,ae_raw_mahalanobis_smoke_l40s/analysis_metrics.json,ae_raw_mahalanobis_smoke_l40s/curves.csv,ae_raw_mahalanobis_smoke_l40s/predictions_test.h5,True,True,True,ae_2x2|ae|raw|mahalanobis,5172000691585024.0,5172000691585024.0,31223029.333333332,10385.46557603063,3866.871809323861,10374.266803232444,168.0,
ae_raw_mse_l40s_run01,ae_2x2,ae,AE,raw,mse,adamw,256.0,ae_raw_mse_l40s_run01,ae_raw_mse_l40s_run01/config.yaml,ae_raw_mse_l40s_run01/checkpoint_best.pt,ae_raw_mse_l40s_run01/metrics.json,ae_raw_mse_l40s_run01/analysis_metrics.json,ae_raw_mse_l40s_run01/curves.csv,ae_raw_mse_l40s_run01/predictions_test.h5,True,True,True,ae_2x2|ae|raw|mse,3141.6523559570314,3591785637478.4,3141.6523559570314,110.20054054068036,4034.9088123250694,98.54903345494068,0.0,
ae_raw_mse_l40s_run02,ae_2x2,ae,AE,raw,mse,adamw,256.0,ae_raw_mse_l40s_run02,ae_raw_mse_l40s_run02/config.yaml,ae_raw_mse_l40s_run02/checkpoint_best.pt,ae_raw_mse_l40s_run02/metrics.json,ae_raw_mse_l40s_run02/analysis_metrics.json,ae_raw_mse_l40s_run02/curves.csv,ae_raw_mse_l40s_run02/predictions_test.h5,True,True,True,ae_2x2|ae|raw|mse,12915.03515625,23829866.1,12915.03515625,211.5788218079511,4034.9088123250694,199.9418521140985,0.0,
ae_raw_mse_smoke_l40s,ae_2x2,ae,AE,raw,mse,adamw,256.0,ae_raw_mse_smoke_l40s,ae_raw_mse_smoke_l40s/config.yaml,ae_raw_mse_smoke_l40s/checkpoint_best.pt,ae_raw_mse_smoke_l40s/metrics.json,ae_raw_mse_smoke_l40s/analysis_metrics.json,ae_raw_mse_smoke_l40s/curves.csv,ae_raw_mse_smoke_l40s/predictions_test.h5,True,True,True,ae_2x2|ae|raw|mse,21344225.333333332,1.4004085181819562e+16,21344225.333333332,6134.560677249325,4063.8718086232834,6123.361690437116,29.0,
experiment_d_transformer_prewhite_mahalanobis_l40s_muon01,architecture,transformer,Transformer,prewhitened,mahalanobis,adamw_muon,128.0,experiment_d_transformer_prewhite_mahalanobis_l40s_muon01,experiment_d_transformer_prewhite_mahalanobis_l40s_muon01/config.yaml,experiment_d_transformer_prewhite_mahalanobis_l40s_muon01/checkpoint_best.pt,experiment_d_transformer_prewhite_mahalanobis_l40s_muon01/metrics.json,experiment_d_transformer_prewhite_mahalanobis_l40s_muon01/analysis_metrics.json,experiment_d_transformer_prewhite_mahalanobis_l40s_muon01/curves.csv,experiment_d_transformer_prewhite_mahalanobis_l40s_muon01/predictions_test.h5,True,True,True,architecture|transformer|prewhitened|mahalanobis,206612284.46753246,206612284.46753246,20196270.545454547,709.6565423272193,4034.9088123250694,698.0660537752525,0.0,
transformer_prewhite_mahalanobis_l40s_muon01,transformer_2x2,transformer,Transformer,prewhitened,mahalanobis,adamw_muon,128.0,transformer_prewhite_mahalanobis_l40s_muon01,transformer_prewhite_mahalanobis_l40s_muon01/config.yaml,transformer_prewhite_mahalanobis_l40s_muon01/checkpoint_best.pt,transformer_prewhite_mahalanobis_l40s_muon01/metrics.json,transformer_prewhite_mahalanobis_l40s_muon01/analysis_metrics.json,transformer_prewhite_mahalanobis_l40s_muon01/curves.csv,transformer_prewhite_mahalanobis_l40s_muon01/predictions_test.h5,True,True,True,transformer_2x2|transformer|prewhitened|mahalanobis,146354939.84415585,146354939.84415585,21143706.441558443,545.1401757203386,4034.9088123250694,533.5373117721714,0.0,
