epoch,train_loss,eval_loss,weighted_residual_mean,reconstruction_mse
1,890860585.9555556,121544362.8,121544362.8,74934179.2
2,80377535.64444445,67636790.0,67636790.0,90448554.0
3,45522647.755555555,31785014.5,31785014.5,96481150.0
4,39157111.333333336,42274002.8,42274002.8,98531969.6
5,29176259.355555557,22446251.1,22446251.1,99930045.2
6,24199104.47777778,29443601.8,29443601.8,100637598.8
7,22674092.255555555,20546636.5,20546636.5,100879468.8
8,21317008.888888888,25603582.8,25603582.8,101033704.8
9,20902237.233333334,21868762.8,21868762.8,101013154.4
10,19914010.333333332,21509819.7,21509819.7,100990228.4
11,19272427.366666667,21806603.7,21806603.7,100833588.8
12,18880399.81111111,18297344.8,18297344.8,100582221.2
13,18129110.744444445,22625136.9,22625136.9,100220735.6
14,17564797.3,14845935.45,14845935.45,99607638.4
15,17158206.2,22436208.7,22436208.7,98642121.2
16,16345222.077777777,12231624.55,12231624.55,97297290.0
17,15424468.477777777,22230612.5,22230612.5,95472270.8
18,15066119.116666667,10595134.9,10595134.9,92794122.8
19,14699503.766666668,21366411.9,21366411.9,89379112.8
20,14107329.6,8455956.0,8455956.0,84886884.0
21,13995930.51111111,18417807.3,18417807.3,79588637.6
22,17350767.18888889,14771125.25,14771125.25,72040736.8
23,12488837.477777777,12447836.7,12447836.7,66723454.2
24,9144613.444444444,6478350.925,6478350.925,63018695.4
25,7340392.027777778,9713865.6,9713865.6,60573637.8
26,6688440.394444444,6058314.725,6058314.725,57175855.0
27,6286907.711111112,6313738.575,6313738.575,55264707.8
28,7089500.988888889,5928718.2,5928718.2,51939638.8
29,5720908.338888889,6290088.4,6290088.4,50357882.4
30,5000104.886111111,4644039.05,4644039.05,48268686.0
31,4671708.886111111,5049611.375,5049611.375,46513947.2
32,4359067.980555556,5023665.0,5023665.0,44783671.0
33,4846359.666666667,20040797.4,20040797.4,44900207.4
34,6130690.594444444,4010372.825,4010372.825,41497373.6
35,3747759.2527777776,4444496.7,4444496.7,39990441.4
36,3538185.283333333,3305410.375,3305410.375,38803714.8
37,3365668.283333333,3933173.5125,3933173.5125,37603793.2
38,3251740.644444444,3227616.95,3227616.95,36540837.6
39,3099688.847222222,3195144.2875,3195144.2875,35527737.6
40,3069317.2472222224,3350225.4375,3350225.4375,34533383.4
41,3202935.5166666666,2276688.9,2276688.9,33669777.8
42,83739224.175,6706469.5,6706469.5,29740708.7
43,2847012.3041666667,2441805.4625,2441805.4625,29439323.2
44,2291541.5361111113,2890486.0,2890486.0,29227752.4
45,2275939.813888889,1667592.3375,1667592.3375,28974592.0
46,2371046.1944444445,3379057.2375,3379057.2375,28735737.2
47,2496827.3055555555,1709383.58125,1709383.58125,28454379.1
48,2222131.322222222,2985350.7,2985350.7,28190544.5
49,2257276.1472222223,1835316.625,1835316.625,27915955.5
50,2033099.7944444444,2387877.35,2387877.35,27627769.5
51,2014739.4333333333,2052073.65625,2052073.65625,27305504.4
52,1978295.1833333333,2137350.7875,2137350.7875,26979873.3
53,1934923.4263888889,2136749.8,2136749.8,26679858.9
54,1890545.240277778,2042182.9125,2042182.9125,26357195.1
55,1829896.9583333333,1772888.7125,1772888.7125,26063162.9
