epoch,train_loss,eval_loss,weighted_residual_mean,reconstruction_mse
1,7.988522530334983e+20,1.0286955987497195e+21,1.0286955987497195e+21,39848587.4
2,1.029145457530623e+21,1.0291168964211111e+21,1.0291168964211111e+21,39850338.4
3,1.0290769199375438e+21,1.0290034233026875e+21,1.0290034233026875e+21,39849265.8
4,1.0289778642019898e+21,1.0288522255005102e+21,1.0288522255005102e+21,39848740.2
5,1.0287854479079104e+21,1.0286353631047034e+21,1.0286353631047034e+21,39847386.4
6,1.0285810462529476e+21,1.0284865683951397e+21,1.0284865683951397e+21,39846116.6
7,1.0284576061837861e+21,1.0283143690412626e+21,1.0283143690412626e+21,39845235.8
8,1.0282971959401835e+21,1.0282265488485289e+21,1.0282265488485289e+21,39843975.2
9,1.0282514828402158e+21,1.0282343421869465e+21,1.0282343421869465e+21,39844409.4
10,1.0281852236306982e+21,1.0280727016631333e+21,1.0280727016631333e+21,39843566.6
11,1.0280708470557867e+21,1.028025248500497e+21,1.028025248500497e+21,39843042.4
12,1.0279872388233295e+21,1.0278916252921781e+21,1.0278916252921781e+21,39841839.4
13,1.027864765151588e+21,1.0278084248074996e+21,1.0278084248074996e+21,39841738.8
14,1.0278127626496407e+21,1.0277447023912096e+21,1.0277447023912096e+21,39841157.8
15,1.0277033134505715e+21,1.0276674163994792e+21,1.0276674163994792e+21,39840302.0
16,1.0275829109655338e+21,1.0275009872826246e+21,1.0275009872826246e+21,39840043.0
17,1.0273792646017585e+21,1.027231119630266e+21,1.027231119630266e+21,39838394.2
18,1.0272384270334114e+21,1.027200227751572e+21,1.027200227751572e+21,39838132.0
19,1.0271785229033679e+21,1.0270911913824687e+21,1.0270911913824687e+21,39837639.4
20,1.0270483016328924e+21,1.0269630252702608e+21,1.0269630252702608e+21,39836770.4
21,1.0269007297757276e+21,1.0267856221477517e+21,1.0267856221477517e+21,39836086.8
22,1.0267307806579143e+21,1.0265967489199416e+21,1.0265967489199416e+21,39834935.0
23,1.0265077891444897e+21,1.0263880915197061e+21,1.0263880915197061e+21,39833380.4
24,1.0263123524675351e+21,1.0262676518956087e+21,1.0262676518956087e+21,39832509.6
25,1.0262160106198815e+21,1.0261398305902473e+21,1.0261398305902473e+21,39831798.0
26,1.0261293687126753e+21,1.026042468395803e+21,1.026042468395803e+21,39830709.4
27,1.0259989238259684e+21,1.0259222011751289e+21,1.0259222011751289e+21,39830070.8
28,1.0258838107248679e+21,1.0257447804604339e+21,1.0257447804604339e+21,39829284.6
29,1.0256182125005936e+21,1.0254985637429934e+21,1.0254985637429934e+21,39828458.2
30,1.0253822778294899e+21,1.0252127927544507e+21,1.0252127927544507e+21,39827324.0
31,1.0251962963661281e+21,1.0251358586064412e+21,1.0251358586064412e+21,39826554.4
32,1.0250559646708641e+21,1.024930086324717e+21,1.024930086324717e+21,39825261.6
33,1.0249092153461313e+21,1.0248162296966375e+21,1.0248162296966375e+21,39824650.4
34,1.0247435915604601e+21,1.0246579035406749e+21,1.0246579035406749e+21,39823028.0
35,1.0245495427115157e+21,1.0243772870626433e+21,1.0243772870626433e+21,39822477.4
36,1.0243118464761828e+21,1.0241733760342025e+21,1.0241733760342025e+21,39821210.6
37,1.0241190103152631e+21,1.0239815613928857e+21,1.0239815613928857e+21,39819949.0
38,1.0239115570024279e+21,1.0238177042536308e+21,1.0238177042536308e+21,39818916.4
39,1.0237603330074402e+21,1.0236570207447383e+21,1.0236570207447383e+21,39817842.4
40,1.0235715547774348e+21,1.0234646185244078e+21,1.0234646185244078e+21,39816928.4
41,1.0233861487740254e+21,1.0232956631696372e+21,1.0232956631696372e+21,39816091.6
42,1.0232928656211187e+21,1.0232490825794288e+21,1.0232490825794288e+21,39816083.2
43,1.0232083105381148e+21,1.0231046542504413e+21,1.0231046542504413e+21,39815809.4
