epoch,train_loss,eval_loss,weighted_residual_mean,reconstruction_mse
1,2491499.1703993054,341350.796875,3.547267949951713e+17,341350.796875
2,327628.41430121526,320791.1078125,2.4427694356483277e+17,320791.1078125
3,314940.9484375,350729.5515625,2.447370015637242e+17,350729.5515625
4,313265.6897840712,459137.209375,4.760109831795245e+17,459137.209375
5,185062.4984266493,119223.8015625,7.146598527097897e+16,119223.8015625
6,136090.3792087131,69166.066796875,9.218158212845405e+16,69166.066796875
7,126402.22883843316,306836.0203125,1.7054715383182787e+17,306836.0203125
8,124912.73044026693,29822.80458984375,3.1374272992431308e+16,29822.80458984375
9,120449.74337802464,141098.965625,1.014424451581739e+17,141098.965625
10,122557.44806654188,48616.80234375,1.0372051110205587e+18,48616.80234375
11,113761.27663031685,220833.58359375,9.654802147701058e+18,220833.58359375
12,112797.76831054688,54962.366015625,2.414691829121076e+18,54962.366015625
13,102392.2531548394,68816.759375,4.742593984499548e+16,68816.759375
14,55799.3340938992,4160.062109375,2.316867958334292e+17,4160.062109375
15,11116.968842230903,5512.316357421875,3.892911112454144e+17,5512.316357421875
16,11589.95310329861,11560.0498046875,6.525669474413052e+17,11560.0498046875
17,11394.285709635416,22953.333203125,1.0352604374462627e+17,22953.333203125
18,12010.334916178386,9009.784130859374,1.7472062305284916e+16,9009.784130859374
19,12252.744250488282,15382.70791015625,3.320279804531442e+17,15382.70791015625
20,12072.095209418403,4596.682275390625,1.6847882385411277e+17,4596.682275390625
21,11465.861998155382,12395.4126953125,1.3391644731847476e+16,12395.4126953125
22,10555.960766601562,3146.0098266601562,5.88447331716694e+16,3146.0098266601562
23,11001.404140896268,24504.3234375,3.024876987614232e+17,24504.3234375
24,14345.899195692275,38603.953515625,1.561091824924649e+18,38603.953515625
25,33914.51253797743,27041.62197265625,1.8450418435411148e+16,27041.62197265625
26,38254.99332572089,7931.427197265625,1.704948782816297e+16,7931.427197265625
27,34081.11655273438,45128.1955078125,2.415157284175872e+16,45128.1955078125
28,35450.61297505697,10212.347705078126,9800203172105420.0,10212.347705078126
29,33393.312112765845,46211.67578125,2.531882372735959e+16,46211.67578125
30,34029.83767428928,26132.33486328125,2.2421125042117016e+16,26132.33486328125
31,54568.40391947429,62548.2962890625,2.0972856026886833e+18,62548.2962890625
32,44181.41769476997,14664.602685546875,7.297619305326182e+16,14664.602685546875
