epoch,train_loss,train_grad_norm,eval_loss,weighted_residual_mean,reconstruction_mse
1,2746248735.3760448,11525444.872214485,2731744059.844156,2731744059.844156,30914182.675324675
2,2694044658.4512534,69129495.73816156,2640566757.4025974,2640566757.4025974,30637357.298701297
3,2556447079.398329,192049885.01392758,2450429031.064935,2450429031.064935,30072909.09090909
4,2314606095.688022,368719650.7632312,2153046554.5974026,2153046554.5974026,29194510.415584415
5,1974729613.5487466,545084562.8969359,1772903315.948052,1772903315.948052,28070721.636363637
6,1570284409.9387186,654945073.3816156,1347184669.922078,1347184669.922078,26898458.90909091
7,1202364618.696379,1122226148.902507,1071648009.974026,1071648009.974026,26155303.506493505
8,1004504528.0445683,2200372180.857939,928390951.0649351,928390951.0649351,25721091.324675325
9,888456344.0668523,3601491130.1169915,833163733.6103896,833163733.6103896,25320731.298701297
10,803972938.5181059,5082039538.451254,758099475.1168832,758099475.1168832,24921485.35064935
11,736025480.9136491,6772374281.270195,693465229.2987013,693465229.2987013,24489569.896103896
12,678785471.4651811,8791928402.718662,641202788.5714285,641202788.5714285,24149480.363636363
13,628551640.6016713,10301137253.972145,590256987.4285715,590256987.4285715,23767832.467532467
14,583696798.6629527,12321696817.916435,548650292.3636364,548650292.3636364,23421131.454545453
15,543720959.1977715,14624949550.350975,510284417.2467533,510284417.2467533,23125495.35064935
16,507574218.51810586,16324188205.637882,472879200.0,472879200.0,22976410.415584415
17,473800451.38718665,17851962715.988857,442253417.14285713,442253417.14285713,22582320.701298703
18,442864937.80501395,19556969024.178272,411769484.46753246,411769484.46753246,22541236.207792208
19,415695714.40668523,21453295014.150417,380660752.2077922,380660752.2077922,22318007.48051948
20,390784025.22562677,22695078424.245125,358026863.7922078,358026863.7922078,22022280.623376623
21,367174890.6963788,23508472387.03064,334363515.4285714,334363515.4285714,21619123.4025974
22,347209683.87743735,24714182924.122562,312852925.9220779,312852925.9220779,21390999.272727273
23,329796326.68523675,26769858200.601673,303437215.58441556,303437215.58441556,21049435.038961038
24,315191723.1420613,29365170250.16156,280621584.6233766,280621584.6233766,20804020.5974026
25,302452667.54317546,26918713189.972145,280899938.0779221,280899938.0779221,20524727.66233766
26,292247194.83008355,31908291546.91922,262232138.1818182,262232138.1818182,20498375.22077922
27,282714936.82451254,25529840391.84401,255421855.79220778,255421855.79220778,20430808.57142857
28,277705241.270195,36282424211.61003,248989262.75324675,248989262.75324675,20611446.623376623
29,269683479.04178274,25731365194.874653,242674323.11688313,242674323.11688313,20593432.675324675
30,263691007.37604457,25811248467.431755,242000117.4025974,242000117.4025974,20360213.272727273
31,259084666.91922006,29087189342.841225,236398683.42857143,236398683.42857143,20443629.42857143
32,254424248.2896936,28514320629.30362,241210680.51948053,241210680.51948053,20138628.883116882
33,249650260.545961,22600868108.122562,226690868.15584415,226690868.15584415,19950431.844155844
34,244948927.821727,23519061705.091923,222311243.84415585,222311243.84415585,20616864.441558443
35,240653022.66295263,19996682322.718662,222393518.12987012,222393518.12987012,20529864.33766234
36,236747994.6518106,16858535886.083565,218043974.85714287,218043974.85714287,20492284.545454547
37,233350605.45961002,17141217245.771587,213589014.64935064,213589014.64935064,19891485.35064935
38,229909773.90529248,17088375524.189415,211939734.02597404,211939734.02597404,20208996.51948052
39,226382060.5682451,15115217460.768803,207949402.38961038,207949402.38961038,20268769.324675325
40,223560440.73537603,14242639518.306406,206000576.62337664,206000576.62337664,20149436.51948052
