epoch,train_loss,train_grad_norm,eval_loss,weighted_residual_mean,reconstruction_mse
1,1050349162.0529987,69695764308.31111,110039055.58306189,110039055.58306189,7778916.195439739
2,90837364.20083682,100358415109.68889,79924985.66775244,79924985.66775244,7941653.983713355
3,66307030.82845188,86432634811.73334,24801519.850162867,24801519.850162867,8742850.074918566
4,52794051.20083682,72536353974.04445,84345971.20521173,84345971.20521173,9325142.130293159
5,52438905.86331939,63074502883.55556,49127618.618892506,49127618.618892506,10292273.309446255
6,34382732.055788,55193836066.13333,25797441.596091203,25797441.596091203,10641533.149837134
7,30147025.49790795,49591945102.22222,26205232.690553747,26205232.690553747,11096509.335504886
8,26374978.683403067,45348624884.62222,32005590.495114006,32005590.495114006,11414850.57980456
9,25324515.776847977,42436237357.51111,13150520.912052117,13150520.912052117,11868783.794788273
10,22531222.852161784,38771291864.17778,33935378.35830619,33935378.35830619,12060928.77198697
11,20669544.661087867,36826102943.28889,9099970.153094463,9099970.153094463,12498400.078175895
12,17582554.29218968,34061153507.555557,27861011.211726386,27861011.211726386,12662571.390879478
13,17214297.748953976,32717383247.644444,10413553.32247557,10413553.32247557,13060931.12703583
14,17154176.78940028,30865759744.0,21180798.625407167,21180798.625407167,13266121.45276873
15,15145614.651324965,29398589838.22222,11149291.846905537,11149291.846905537,13643966.074918566
16,14286668.662482567,27776664280.177776,15727321.25407166,15727321.25407166,13837808.912052117
17,13775179.832635984,26706176136.533333,12983932.732899023,12983932.732899023,14151955.104234528
18,12781087.867503487,25213585408.0,14550757.96742671,14550757.96742671,14297807.166123778
19,12590590.89818689,24513490750.577778,5984323.741042345,5984323.741042345,14619539.638436481
20,11833718.947001394,23149048854.755554,16774293.68078176,16774293.68078176,14754253.188925082
21,11738935.69735007,22568808630.044445,10258230.32247557,10258230.32247557,15047925.136807818
22,10580483.59693166,21580872260.266666,11648731.237785017,11648731.237785017,15258785.84039088
23,9883720.10460251,20721837135.644444,6983052.267100977,6983052.267100977,15517272.684039088
24,9410617.18410042,19797869135.644444,12160423.42019544,12160423.42019544,15749862.54723127
25,10753785.59274756,19580521767.822224,7576638.203583062,7576638.203583062,15865018.944625407
26,8909734.343793584,18854801294.22222,9589431.358306188,9589431.358306188,16034853.016286645
27,8275094.672245467,18236894048.711113,6952083.768729642,6952083.768729642,16276557.869706841
