epoch,train_loss,train_grad_norm,eval_loss,weighted_residual_mean,reconstruction_mse
1,1947851732.883263,67696231489.51111,614636146.6579804,614636146.6579804,59767712.521172635
2,463928891.67932487,113551924610.84445,404589817.3289902,404589817.3289902,60159113.27687296
3,293599430.4135021,154498425014.04443,284158737.71986973,284158737.71986973,64933551.97394137
4,257157070.08720112,157792006963.2,545036529.4071661,545036529.4071661,68048532.42996743
5,245457228.9170183,162057125888.0,260225026.50162867,260225026.50162867,68117044.40390879
6,198387348.68073136,153269817070.93332,432938956.8208469,432938956.8208469,69639641.48534203
7,205969337.49648383,149992824194.84445,328739392.62540716,328739392.62540716,69624369.77198698
8,162284162.63291138,142130081609.95557,319145514.73615634,319145514.73615634,69336330.78827362
9,163929966.8185654,139685693121.4222,173270749.49837133,173270749.49837133,68460348.27361563
10,143222099.31926864,127574045127.11111,232060693.7850163,232060693.7850163,67532798.90553746
11,123888445.01265822,123335134776.88889,118790273.82410423,118790273.82410423,66640801.06840391
12,119548223.25738397,114757237418.66667,178713566.8534202,178713566.8534202,64754841.49837133
13,101855819.29113925,107953645067.37778,112890377.61563519,112890377.61563519,63534234.397394136
14,111202559.69620253,97486619079.11111,234452026.3713355,234452026.3713355,59840862.397394136
15,140882387.09423348,51981248739.55556,55091226.1237785,55091226.1237785,57189567.14006515
16,29855176.748241913,46427489393.77778,44167581.315960914,44167581.315960914,56019971.97394137
17,40545571.659634314,43361480157.86667,28431520.06514658,28431520.06514658,54308272.85993485
18,21489998.258790437,41298080563.2,8688607.205211727,8688607.205211727,53775684.91205212
19,25149191.818565402,39190137196.08889,46290160.62540717,46290160.62540717,52809911.24429967
20,46101174.9395218,37587235453.155556,17447410.6514658,17447410.6514658,51599556.06514658
21,16622353.693389593,36125819153.066666,11858809.267100977,11858809.267100977,51065426.56677525
22,16457160.465541491,34724686825.244446,4698304.991856677,4698304.991856677,50501168.48208469
23,38810443.07172996,33544562346.666668,51245965.04234528,51245965.04234528,48086340.85993485
24,33186875.35864979,31933750294.755554,15644817.061889252,15644817.061889252,48070103.45276873
25,14079982.87482419,30812164414.577778,7036001.415309446,7036001.415309446,47612789.96742671
26,16437963.195499297,30014208273.066666,4292980.371335505,4292980.371335505,47000658.684039086
27,38553603.54008439,28650308380.444443,19538424.84039088,19538424.84039088,45885535.06188925
28,13317869.597749649,27835691963.733334,20235748.35179153,20235748.35179153,45601577.19869707
29,18112448.52883263,27194219019.377777,45534904.09120521,45534904.09120521,45294569.01628664
30,16328615.451476794,26050776860.444443,9468828.130293159,9468828.130293159,44528175.16612378
31,10763901.865682138,25048120752.355556,17349272.208469056,17349272.208469056,44189722.332247555
32,11706025.59212377,24946542478.22222,19857922.306188926,19857922.306188926,43957417.798045605
33,18767732.450070325,24374066358.044445,17749721.32899023,17749721.32899023,43187157.68078176
34,11499636.250351617,23346321954.133335,6408916.469055374,6408916.469055374,42909392.67752443
