epoch,train_loss,train_grad_norm,eval_loss,weighted_residual_mean,reconstruction_mse
1,5866793.893348524,100618252.35902777,261317.4484375,144035359.2,261317.4484375
2,83779.98901909722,24522386.95451389,70342.326953125,44342430.4,70342.326953125
3,64769.60341932509,23672449.326388888,5855.044750976563,29980597.7,5855.044750976563
4,55687.16343315972,22370739.191666666,6392.4896484375,7193629.875,6392.4896484375
5,53187.841452874076,21760173.234722223,14264.09765625,8152323.85,14264.09765625
6,52080.759986368816,21416627.44409722,19608.48251953125,17595042.4,19608.48251953125
7,51443.80672030979,21201045.819444444,24838.93505859375,17277365.5,24838.93505859375
8,49059.7330271403,20821293.56111111,28784.5982421875,17629391.0,28784.5982421875
9,43775.97271999783,20398636.419444446,6142.814428710937,2521052.2125,6142.814428710937
10,44309.698455471465,19592999.0375,32809.0265625,9759068.35,32809.0265625
11,41296.539785427514,19872033.172222223,6645.278833007813,2964768.225,6645.278833007813
12,41634.98000556098,19392822.86527778,20320.94990234375,5664661.975,20320.94990234375
13,42376.46203681098,19610940.36388889,3761.316748046875,1611408.2375,3761.316748046875
14,37650.82529669868,18698488.377777778,20024.88515625,7489922.275,20024.88515625
15,39043.01879204644,19055062.075,5148.653369140625,3631467.7,5148.653369140625
16,39149.547959391275,18509916.047222223,24947.61728515625,6609262.375,24947.61728515625
17,34885.38176540798,18439945.116666667,8738.42822265625,4446169.075,8738.42822265625
18,39012.18235880534,18405884.058333334,19012.75126953125,11991592.15,19012.75126953125
19,33983.25455457899,18116325.722222224,7823.77763671875,3357349.925,7823.77763671875
20,37852.02599283854,18094961.955555554,16245.84638671875,5732921.4,16245.84638671875
21,33244.23203938802,17834768.955555554,6989.5989990234375,4350007.575,6989.5989990234375
