epoch,train_loss,train_grad_norm,eval_loss,weighted_residual_mean,reconstruction_mse
1,2746454408.913649,11020001.332520891,2731670172.2597404,2731670172.2597404,30925326.883116882
2,2692107374.5292478,68782293.13649026,2636125579.6363635,2636125579.6363635,30686746.77922078
3,2549096032.2674093,191643572.90250698,2439584974.12987,2439584974.12987,30210940.025974028
4,2300841109.392758,366910779.7214485,2135813793.2467532,2135813793.2467532,29502589.16883117
5,1955853288.1114206,539360369.2924792,1751892511.5844157,1751892511.5844157,28679539.68831169
6,1550565714.362117,648993686.8189415,1331545320.7272727,1331545320.7272727,28050251.298701297
7,1198521396.7688022,1211844540.7910864,1078457156.987013,1078457156.987013,27929506.883116882
8,1013820546.3175488,2304188153.938719,940058367.1688311,940058367.1688311,27920328.5974026
9,899288424.2896936,3576512708.8133707,842939499.2207792,842939499.2207792,27913874.64935065
10,813917371.1866295,4999622156.122562,766004492.4675325,766004492.4675325,27899502.727272727
11,743905152.8913649,6616894329.225627,700571194.1818181,700571194.1818181,27816868.987012986
12,684006337.2479109,8094868119.1754875,643673386.3896104,643673386.3896104,27705972.64935065
13,630327842.7632312,9831844913.916435,592446362.5974026,592446362.5974026,27528498.051948052
14,583263605.1253482,11846023986.629526,548115339.6363636,548115339.6363636,27471349.038961038
15,540219855.0640669,13326813895.66574,506890676.3636364,506890676.3636364,27364933.42857143
16,501704868.10027856,15335334039.175488,469585639.4805195,469585639.4805195,27156713.766233765
17,467302868.7688022,16944868620.122562,432418697.5584416,432418697.5584416,27187112.467532467
18,435820169.9832869,18670083280.22284,400655458.90909094,400655458.90909094,27140621.064935066
19,408620289.0696379,20520343363.743732,376382780.6753247,376382780.6753247,27211402.0
20,384078644.1448468,21329110321.203342,350203234.4935065,350203234.4935065,27075665.558441557
21,362048491.2311978,22948735295.46518,330088733.5064935,330088733.5064935,27358272.57142857
22,344076698.11699164,24535680290.941505,315527947.22077924,315527947.22077924,27199683.16883117
23,329371853.7270195,26763421909.927578,298001951.58441556,298001951.58441556,27129731.61038961
24,315511526.5961003,25803953314.584957,279592587.22077924,279592587.22077924,27078187.506493505
25,304398125.5487465,25325381689.047356,271283401.35064936,271283401.35064936,26940451.116883118
26,296832906.7855153,33733509530.740948,261141156.98701298,261141156.98701298,27120625.038961038
27,287521845.9275766,27134450876.256268,255989718.23376623,255989718.23376623,26683653.792207792
28,281849642.4289694,29175043277.370472,251745177.97402596,251745177.97402596,26627247.09090909
29,276406709.9275766,34115000901.883007,244047562.5974026,244047562.5974026,26518483.194805194
30,271769599.15320337,36613358920.022285,243324728.72727272,243324728.72727272,26432864.935064934
31,266620476.0334262,27508850939.008358,238225022.96103895,238225022.96103895,25739812.07792208
32,262507345.8718663,31276432632.15599,234754301.7142857,234754301.7142857,25813892.25974026
33,258466773.83844012,28940955958.908077,237746647.6883117,237746647.6883117,25695010.64935065
34,254955051.05292478,29884115888.133705,234069089.87012988,234069089.87012988,25529412.987012986
35,250877720.42339832,23291915914.339832,223743004.05194804,223743004.05194804,24780840.961038962
36,246858948.81337047,22889763298.05014,224593085.5064935,224593085.5064935,24602420.07792208
37,243149747.9665738,19942579838.930363,217920392.3116883,217920392.3116883,23985823.14285714
38,239658032.66852367,20113836391.398327,223869330.9090909,223869330.9090909,23425891.506493505
