of_amp_gls,of_amp_td,emp_amp_scaled,resid_of,resid_emp
8432.805918233262,8432.802262368583,8430.635675322403,5.360235098859368e+17,1.1113220894454218e+18
8434.793958090731,8434.792253940068,8436.58916838102,5.352128668299358e+17,1.110782634183776e+18
8440.917174040867,8440.913657897463,8439.666908746938,5.359605718189203e+17,1.1123663846870284e+18
8439.80624388077,8439.805085665335,8437.000567366913,5.360349728308833e+17,1.1122891098254669e+18
8422.142632094588,8422.140571599066,8424.073385779022,5.3353123061561376e+17,1.1073756981446354e+18
8437.448256069434,8437.447070321488,8439.627082147494,5.3532570200286637e+17,1.1112577624979474e+18
8437.381855796686,8437.381882056063,8439.627929822514,5.354473046130068e+17,1.1113702986393827e+18
8439.502900598372,8439.500793635147,8436.11579614752,5.361269339865075e+17,1.1123396627159432e+18
8425.782078031998,8425.780997057751,8428.471819708686,5.3359303712297664e+17,1.1079335418750547e+18
8440.873237599915,8440.86828497225,8437.598041358277,5.370136421237487e+17,1.1134135046158556e+18
8441.058092071991,8441.053618315625,8439.294710009479,5.355277872220855e+17,1.1119528587399503e+18
8443.855819614708,8443.8569129019,8445.905014742484,5.3636571105558566e+17,1.1131728551435352e+18
8428.204376246744,8428.200770088923,8430.691055234256,5.3393787853426995e+17,1.1086086660332246e+18
8440.682714223987,8440.681062443438,8443.616532609036,5.3635671744771066e+17,1.1127304058472355e+18
8421.353759585802,8421.353371782632,8418.113812102898,5.338819219886351e+17,1.1076190224546779e+18
8437.477762733362,8437.475598395606,8438.708477008837,5.355521380588041e+17,1.111488250256792e+18
8438.326561518945,8438.326330650065,8435.632780617154,5.3561554714423194e+17,1.1116676392196652e+18
8431.782879438002,8431.781458824862,8431.001820711164,5.354504284991684e+17,1.1106093956709908e+18
8476.443510558945,8476.443005065146,8476.534812795726,5.403954762231542e+17,1.1216634476025011e+18
8445.069631929335,8445.06876533743,8442.053487110385,5.365133986921758e+17,1.1134865135055354e+18
8437.472911318537,8437.47092055338,8434.271087230081,5.361910953686569e+17,1.1121266551028654e+18
8436.668274834477,8436.664649876886,8435.663129299346,5.359493769838938e+17,1.1117750397759153e+18
8435.285247181228,8435.285153202232,8435.498096313513,5.353995292553436e+17,1.1110363865150778e+18
8439.859523334751,8439.855758532689,8443.317560777032,5.3564654155432826e+17,1.1119077989226045e+18
8420.755402798879,8420.754880174449,8422.182650339433,5.3326968256724646e+17,1.1069251397913509e+18
8438.592030092592,8438.592774895755,8435.075702686372,5.3573660912491686e+17,1.1118249671862829e+18
8422.510375329102,8422.508590250949,8422.896375316966,5.3372311456038944e+17,1.1076177339343736e+18
8443.409652148786,8443.406118682251,8442.259638845808,5.370146042154405e+17,1.1137608730847826e+18
8426.642983704136,8426.641834117449,8427.912758158374,5.3401774738500896e+17,1.1084756599671473e+18
8439.11450730243,8439.115285157419,8442.151353821411,5.3567461268233344e+17,1.1118341477694648e+18
8436.515657383186,8436.513010984152,8437.0752569605,5.3554572773475795e+17,1.111350518823954e+18
8437.16595563351,8437.166086580903,8435.243941010332,5.360103458872559e+17,1.1119039695495805e+18
8435.662059778633,8435.661466122365,8431.793500536458,5.358922537492349e+17,1.1115806418128e+18
8424.969961877316,8424.968719093664,8421.60847327184,5.347926101761048e+17,1.1090225547737492e+18
8427.120590246981,8427.12000639283,8427.784980837867,5.338608253357826e+17,1.1083838731769158e+18
8437.281166675477,8437.28077393797,8436.876186548272,5.352958609286366e+17,1.1112051749704292e+18
8439.26715397169,8439.263463835547,8441.652097816881,5.350700018853971e+17,1.1112503964706262e+18
