of_gls,of_time_domain,empca_rank1,rq_of_ampl_0,resid_of,resid_empca_rank1
10409.464699809425,10409.464465954601,10409.369281154683,10410.923527225288,5777628351089055.0,5787374761216635.0
10416.459788253303,10416.460150780475,10416.360833934888,10416.133600352046,5798363176600783.0,5808860290835368.0
10411.985218425945,10411.985549891819,10411.851106160908,10411.69952717364,5717590913928916.0,5735554845032036.0
10415.755896708128,10415.752644439188,10415.628761935957,10414.270767397182,5611720100843705.0,5628204320025383.0
10399.62260441851,10399.620295318113,10399.515275206903,10396.956469361397,5692276950574285.0,5704550627744056.0
10418.519466469335,10418.519291515053,10418.440191507232,10415.498695922603,5802159065600272.0,5808474059579457.0
10394.676125389382,10394.677324545892,10394.568947639948,10393.171423058013,5751354741598488.0,5763595455864244.0
10412.94442284674,10412.943687934732,10412.831614153054,10413.705263627297,5744331406375202.0,5757771180661663.0
10413.888582521791,10413.889955356324,10413.793966225125,10414.488861143527,5723096659231679.0,5732672305980275.0
10408.932829922254,10408.932905775124,10408.79998821767,10406.460237616411,5717179316193383.0,5734871303051223.0
10460.408966267454,10460.410046880925,10460.316500907898,10461.096124241189,5816079223219797.0,5825191490722877.0
10415.914057946491,10415.91351337183,10415.823996290299,10415.938276909788,5751789383162734.0,5760397168600512.0
10414.297839118744,10414.300275589287,10414.210781444159,10415.235144451502,5793475618061843.0,5801445575300463.0
10423.903593395047,10423.901368558056,10423.806950020156,10423.372733126183,5688102574580173.0,5698108303225555.0
10414.635306216387,10414.637778699556,10414.513153659958,10412.75861494445,5731143501378645.0,5746568693506784.0
10414.884942351135,10414.886710291908,10414.782813983129,10416.979583823402,5747762398104001.0,5758933806630410.0
10412.928919414817,10412.92989715706,10412.820426226994,10416.144923142025,5839844533291166.0,5852367697301541.0
10398.243601790762,10398.244586997916,10398.133574612444,10398.791856854112,5759916543641465.0,5772762219974683.0
10414.763486307585,10414.762399768597,10414.673607967572,10412.777141654096,5747787032481905.0,5756356086782463.0
10413.713986314433,10413.715319936056,10413.606703626914,10413.902967132663,5773592570109239.0,5785858757430450.0
10413.801877299313,10413.80347519335,10413.7025641414,10415.006470589662,5607840995253910.0,5618414339980857.0
10414.464660931506,10414.463450314923,10414.373108691858,10413.821195627861,5720611916121166.0,5729536612999899.0
10417.17245927613,10417.173288570279,10417.076984857307,10416.17800382619,5677008118810088.0,5686765804114495.0
10411.337383485112,10411.337721229076,10411.250490095403,10410.984493574386,5654714628573688.0,5662650422261715.0
10415.51970434595,10415.518334282251,10415.422233733063,10416.666295721017,5667537400444534.0,5677719302103093.0
10390.40483298309,10390.404503801297,10390.284564637295,10390.870979858413,5762441238483719.0,5777455633716212.0
10409.622972282,10409.624199957352,10409.521964041342,10410.67723792162,5700003514059948.0,5710936755325350.0
10402.755410979424,10402.754606948958,10402.641578380817,10403.471499974208,5809987286224164.0,5823641457154272.0
10408.687989633456,10408.688104539751,10408.571354629616,10409.606826892392,5658528294896367.0,5672779244482513.0
10400.7546269078,10400.753760134576,10400.630846864215,10401.41021145845,5759631964230179.0,5775395876235385.0
10414.04277744842,10414.042515974472,10413.931943794016,10413.01254693932,5712132122878574.0,5725152665229049.0
10392.83076203608,10392.83403525634,10392.730707566163,10393.291468338772,5753330749159425.0,5764061098237620.0
10395.200599799258,10395.198566305275,10395.082089799409,10395.773745630418,5730373796537477.0,5745017451222806.0
10412.04092809719,10412.040065615456,10411.93005023548,10411.67286372213,5729100117825794.0,5742129568420702.0
10389.880674576038,10389.87721021132,10389.77550326457,10391.563035448418,5823722677498037.0,5835537358161702.0
10417.53375167428,10417.533070702675,10417.40842300092,10417.58817183748,5641346178619449.0,5657447633137155.0
10414.917019050228,10414.91628815049,10414.818595318035,10414.29699489064,5781893869667720.0,5792278270974345.0
10397.204896019783,10397.203023136191,10397.076555565769,10396.741121051777,5642224572317063.0,5658953844294631.0
10417.27219204175,10417.273357381438,10417.169328555658,10417.372460794466,5764166080471898.0,5775493839760294.0
10413.371690693695,10413.368607153094,10413.248736352096,10413.47528903048,5686291306777458.0,5701886208909915.0
10408.830645107813,10408.830306621188,10408.708946027078,10409.64948323983,5748435550458577.0,5763761728185994.0
10396.667728107217,10396.668324512193,10396.523333879883,10396.665788482182,5752281443956341.0,5772414853661066.0
10396.486383516873,10396.48366870995,10396.401402926773,10393.989760337527,5713957156230294.0,5721490976300021.0
10401.972367611777,10401.97091084161,10401.909772821033,10400.572601174325,5835524057968922.0,5838306597908635.0
10414.45477851552,10414.454804272693,10414.354210292497,10412.873005874208,5705778877748722.0,5716618838608927.0
10398.851439115577,10398.8517753741,10398.740652673916,10398.66279906022,5738397331560629.0,5751404193698408.0
10408.691751661761,10408.689586284829,10408.590815832711,10410.245648353328,5690528602377756.0,5701446432192638.0
10410.787082248879,10410.787987408099,10410.689134806875,10410.522424313467,5690233723161761.0,5700517035905956.0
10394.854403617099,10394.855142869814,10394.762650539029,10395.079324252807,5700101302031980.0,5709071556335669.0
10393.555690947442,10393.553738383249,10393.46493166369,10392.049397698232,5704726643619122.0,5713486399045960.0
10393.000980275347,10392.99952335612,10392.912160577529,10392.846474375994,5624613401227543.0,5632962071429840.0
10399.077506434482,10399.076877164867,10398.961908634412,10400.069782521397,5694771565344095.0,5708799046652709.0
10416.558764972153,10416.55900683519,10416.453208908264,10415.991181671487,5690895364585272.0,5702795167697695.0
10393.052960927866,10393.05295244955,10392.952305558129,10394.37881956232,5687470116850436.0,5698327857856062.0
10416.66380117483,10416.665772049002,10416.521735837523,10417.616018394325,5711059735784897.0,5730716830418123.0
10410.774548031619,10410.776301360618,10410.661724467238,10411.503526928629,5839499947199102.0,5852942270585135.0
10414.733895175325,10414.733014144305,10414.625140478722,10415.147054727202,5701045929393625.0,5713624993860384.0
10393.626100935657,10393.625078128025,10393.501444983842,10394.316783398748,5647667898347788.0,5663613891125930.0
10396.854389588774,10396.854173774489,10396.74753735344,10397.111695127303,5701598256373005.0,5713770306437381.0
10410.661640504606,10410.66378525585,10410.544200192946,10411.613315926716,5768799456754811.0,5783222123552549.0
10400.605423702029,10400.604468792404,10400.48646757766,10399.302329234846,5777130471516288.0,5791870929560667.0
10388.029477536933,10388.028387357057,10387.935985099984,10390.392293813642,5714830592006363.0,5724170389793299.0
10389.9141133191,10389.914439654889,10389.827087904088,10389.826761369828,5694560504827826.0,5702529546216016.0
10396.923756878925,10396.918301982074,10396.825551735155,10395.869326511045,5749163474026425.0,5759501729715323.0
10391.055704684008,10391.054357940244,10390.953158380975,10391.678305387413,5757640286714204.0,5768898742457921.0
10411.436432116516,10411.435220348483,10411.34854346268,10414.591660363409,5721747925644068.0,5729895057311180.0
10392.272103801146,10392.272659388218,10392.158064629279,10392.3007460712,5694505018896248.0,5708199789361366.0
10416.116181991747,10416.116136612038,10416.012661719196,10415.917498448649,5738416711624860.0,5749883925287966.0
10411.588027949145,10411.589396646707,10411.415924732819,10410.748091844795,5820446669053380.0,5846478456016744.0
10394.201070696217,10394.199092279743,10394.10988827767,10393.712527798816,5841616305548646.0,5850465665646065.0
10399.18723298746,10399.186538515372,10399.079711737388,10396.924962179522,5671408561815640.0,5683722899271937.0
10415.84802951989,10415.847651292812,10415.723541794649,10414.418714090069,5731076963281618.0,5746998850209398.0
10387.032307564314,10387.02973596202,10386.926604510794,10387.050340144553,5752186607233277.0,5764113579846334.0
10396.021427801707,10396.019521846018,10395.920108910526,10396.351599858606,5664306540885735.0,5675305090882937.0
10388.78397725219,10388.782264277128,10388.650879493694,10388.976970880376,5656680821082202.0,5674413130148196.0
10409.84036726483,10409.840988251817,10409.723008815105,10411.402220052798,5796536971341753.0,5810941947723276.0
10417.674589288628,10417.674593434633,10417.571527276872,10417.136646557472,5756803758983561.0,5768173734849480.0
