empca_coeff_norm,exact_coeff_norm
18608.482750351155,84810.85346682668
19805.643733569847,89900.7979380493
18191.84496001319,82471.94290967759
19755.371758051562,89730.86125998985
23249.445562825273,105875.54085900068
25810.649924014935,117597.30249360995
19093.003735058133,87099.47334846781
26521.026966644327,120365.01551739762
19940.618827841667,90790.27909341118
21597.175177345744,98182.74379897215
18287.564609954137,82915.4151677542
22423.18645003072,101938.59423927366
20773.86949330597,94416.93867582372
25249.363780432453,114416.42534461909
25055.177508233006,114090.57473093628
18171.25015220863,82752.08228252326
21629.465730806427,98310.84743711544
22749.059656768306,103515.22017276278
18734.981462887234,85313.19057981815
20989.558285105602,95200.35376380294
19150.794518212606,87168.33573299275
19837.743101358046,90452.29108919155
18848.829076842132,85725.73323365935
18753.438112630407,85372.59128721802
23150.87601923508,105065.36356148816
22462.23902835675,101991.97375157563
24018.449680725364,109173.58311945385
19207.20146215252,87188.35967536362
22527.71420936864,102576.03687427712
20925.431925965608,95360.98999517702
24823.077870766534,113172.42874448956
22904.177507699722,103941.19663234282
26093.44879923888,118818.33361173498
19602.34717753609,89076.76928542319
19560.34930968548,88983.07808403386
23476.548860634946,106902.00564511845
20415.57032718734,92707.21763180157
24091.7171970743,109562.77163228387
25488.2286306149,115627.80666035741
26606.492048521643,121109.26000295751
17972.18664844857,81694.33445070004
19668.496196089338,89341.0776491782
19950.847524605317,90902.29804255406
21793.866917475007,99022.77289514148
18769.459979571104,85421.45382750164
18043.27282066213,81647.4365886085
22196.138722130152,100678.40874251883
25957.654264350935,117840.50870352026
24588.79302520948,111711.60538541888
24089.174284514753,109616.359980114
21855.210811278725,99362.77102762734
19713.11706910854,89421.9726088515
24214.44942180597,110146.14688908732
22387.91355439123,101783.32632958193
21106.720242754636,95746.26179697645
23718.921461711154,107811.82266345518
22818.861929932078,103786.79776430845
19560.325369689068,89051.77151085853
20943.380933034303,95483.75070342976
23507.84812115562,107003.130299622
22859.79492350696,103990.78966742477
22470.752332337284,102149.06355852996
20021.857342257634,90757.45520059175
17844.38093707915,81314.28227834734
26385.154244626727,120071.00111443044
22092.326608433243,100507.05586177381
19180.42007194512,87356.76279241387
18969.6248424462,86068.46587596125
24417.899436825806,110994.40485433451
25623.74409239757,116443.115350333
21674.042630483327,98503.60858863758
24153.26570004163,109675.22558768588
23652.508309169116,107358.31821100977
20090.964004806774,91364.81123821293
23233.55061348292,105690.9392184777
24326.79435568139,110767.63833775476
26523.453226274658,120407.58965592456
24551.293385325203,111721.39666385655
18300.16182085163,82988.41385759618
26005.25525867196,118274.2622749707
23072.30053980322,105095.6187960708
26338.069895018973,119807.04166581882
18804.109121415164,85361.01969789383
17832.62745214604,81258.32004078673
23012.653373992198,104701.13077336253
19727.500419542685,89405.5507916704
22490.412926974564,102360.59801483956
25593.50359338282,116400.13973057948
25202.89609587627,114434.78601977408
24009.363900458426,109208.14831821347
24649.0068157353,112291.40063251014
19289.840240296464,87583.09316442849
19774.85924737492,89895.81780418783
18910.806277213676,85793.97077674339
20816.741434112846,94593.3315616046
18921.124555024664,85712.26612435156
18646.947903406402,84824.39782382763
20698.919512810684,94030.9097702465
23334.19608201341,105857.78961904313
21721.471755260183,98664.81777836639
23221.810707199398,105558.9089811977
22230.768741715285,101094.96725170704
25010.100187614975,113829.42579346955
