setup,k,chi2_proxy_mean,chi2_proxy_std
setup_A_rank1,1,33101.82556353923,94.62488448505056
setup_A_rank1,2,33099.56808053475,94.74076451553431
setup_A_rank1,3,33097.554626652214,94.73214290315192
setup_A_rank1,4,33095.823951193495,94.64172012399597
setup_A_rank1,5,33093.91212988064,94.60229774947223
setup_A_rank1,6,33091.943506925614,94.46324370993705
setup_A_rank1,7,33089.561769763,94.82457132840054
setup_A_rank1,8,33087.57664750615,94.7007868759521
setup_B_multiD,1,45540.166430601836,10226.902625204806
setup_B_multiD,2,37772.82524543669,3368.7003135422383
setup_B_multiD,3,35679.99644884313,1985.3018450433663
setup_B_multiD,4,35071.85410146508,1568.7801456176473
setup_B_multiD,5,34809.16062472423,1302.4792801008155
setup_B_multiD,6,34705.80828370406,1233.0300196922935
setup_B_multiD,7,34675.486811959156,1211.4624418401713
setup_B_multiD,8,34665.793115233995,1206.3288456494306
