k,init,iteration,chi2
1,random,0,96193.43083218974
1,random,1,45259.61018823957
1,random,2,44970.798563591634
1,random,3,44967.44307314573
1,random,4,44967.4032376805
1,random,5,44967.40276417852
1,random,6,44967.40275854976
1,random,7,44967.40275848285
1,random,8,44967.40275848206
1,random,9,44967.40275848205
1,random,10,44967.40275848205
1,random,11,44967.40275848205
1,random,12,44967.40275848205
1,random,13,44967.40275848205
1,random,14,44967.40275848205
1,random,15,44967.40275848205
1,random,16,44967.40275848205
1,random,17,44967.40275848205
1,random,18,44967.40275848205
1,random,19,44967.40275848205
1,random,20,44967.40275848205
1,random,21,44967.40275848205
1,random,22,44967.40275848205
1,random,23,44967.40275848205
1,random,24,44967.40275848205
1,random,25,44967.40275848205
1,random,26,44967.40275848205
1,random,27,44967.40275848205
1,random,28,44967.40275848205
1,random,29,44967.40275848205
1,random,30,44967.40275848205
1,random,31,44967.40275848205
1,random,32,44967.40275848205
1,random,33,44967.40275848205
1,random,34,44967.40275848205
1,random,35,44967.40275848205
1,random,36,44967.40275848205
1,random,37,44967.40275848205
1,random,38,44967.40275848205
1,random,39,44967.40275848205
1,random,40,44967.40275848205
1,random,41,44967.40275848205
1,random,42,44967.40275848205
1,random,43,44967.40275848205
1,random,44,44967.40275848205
1,random,45,44967.40275848205
1,random,46,44967.40275848205
1,random,47,44967.40275848205
1,random,48,44967.40275848205
1,random,49,44967.40275848205
1,random,50,44967.40275848205
1,random,51,44967.40275848205
1,random,52,44967.40275848205
1,random,53,44967.40275848205
1,random,54,44967.40275848205
1,random,55,44967.40275848205
1,random,56,44967.40275848205
1,random,57,44967.40275848205
1,random,58,44967.40275848205
1,random,59,44967.40275848205
1,random,60,44967.40275848205
1,random,61,44967.40275848205
1,random,62,44967.40275848205
1,random,63,44967.40275848205
1,random,64,44967.40275848205
1,random,65,44967.40275848205
1,random,66,44967.40275848205
1,random,67,44967.40275848205
1,random,68,44967.40275848205
1,random,69,44967.40275848205
1,random,70,44967.40275848205
1,random,71,44967.40275848205
1,random,72,44967.40275848205
1,random,73,44967.40275848205
1,random,74,44967.40275848205
1,random,75,44967.40275848205
1,random,76,44967.40275848205
1,random,77,44967.40275848205
1,random,78,44967.40275848205
1,random,79,44967.40275848205
1,svd,0,44967.40275848205
1,svd,1,44967.40275848205
1,svd,2,44967.40275848205
1,svd,3,44967.40275848205
1,svd,4,44967.40275848205
1,svd,5,44967.40275848205
1,svd,6,44967.40275848205
1,svd,7,44967.40275848205
1,svd,8,44967.40275848205
1,svd,9,44967.40275848205
1,svd,10,44967.40275848205
1,svd,11,44967.40275848205
1,svd,12,44967.40275848205
1,svd,13,44967.40275848205
1,svd,14,44967.40275848205
1,svd,15,44967.40275848205
1,svd,16,44967.40275848205
1,svd,17,44967.40275848205
1,svd,18,44967.40275848205
1,svd,19,44967.40275848205
1,svd,20,44967.40275848205
1,svd,21,44967.40275848205
1,svd,22,44967.40275848205
1,svd,23,44967.40275848205
1,svd,24,44967.40275848205
1,svd,25,44967.40275848205
1,svd,26,44967.40275848205
1,svd,27,44967.40275848205
1,svd,28,44967.40275848205
1,svd,29,44967.40275848205
1,svd,30,44967.40275848205
1,svd,31,44967.40275848205
1,svd,32,44967.40275848205
1,svd,33,44967.40275848205
1,svd,34,44967.40275848205
1,svd,35,44967.40275848205
