component,proxy,pearson_r
PC1,amplitude_proxy,-0.9999981136286342
PC1,timing_proxy,0.005396110808616477
PC1,width_proxy,0.19090913004931237
PC1,rq_A,-0.9602370309354314
PC1,rq_time_shift,0.0007289589999058469
PC2,amplitude_proxy,0.019159469390742253
PC2,timing_proxy,-0.8653943182873852
PC2,width_proxy,0.21849857044585175
PC2,rq_A,0.012663350479707262
PC2,rq_time_shift,0.5282164580029732
PC3,amplitude_proxy,0.009953967388525388
PC3,timing_proxy,-0.17363528520134838
PC3,width_proxy,-0.057188619336510454
PC3,rq_A,0.01277517467946486
PC3,rq_time_shift,0.12485043434444536
