fit_variant,component,proxy,weighted_cosine
uncentered,PC1,mean_like,0.9999999916043749
uncentered,PC1,template_like,0.9999999916043749
uncentered,PC1,timing_like,0.3495736241506486
uncentered,PC1,width_like,0.0751634836856218
uncentered,PC2,mean_like,0.3366239217965362
uncentered,PC2,template_like,0.3366239217965362
uncentered,PC2,timing_like,0.9990512016228739
uncentered,PC2,width_like,0.8020362666456012
uncentered,PC3,mean_like,0.001323584342423483
uncentered,PC3,template_like,0.001323584342423483
uncentered,PC3,timing_like,0.6784780549345224
uncentered,PC3,width_like,0.9778647502392087
centered,PC1,mean_like,0.999999289581571
centered,PC1,template_like,0.999999289581571
centered,PC1,timing_like,0.3492070266998661
centered,PC1,width_like,0.07468061155961088
centered,PC2,mean_like,0.3366418369315183
centered,PC2,template_like,0.3366418369315183
centered,PC2,timing_like,0.9990551379571335
centered,PC2,width_like,0.8020051000857132
centered,PC3,mean_like,0.0013435668378054951
centered,PC3,template_like,0.0013435668378054951
centered,PC3,timing_like,0.6785378443440465
centered,PC3,width_like,0.9778544970562979
