group,model,is_predeclared_primary,accepted,available_windows,unavailable_windows,coverage_fraction,score_n,score_mean,score_median,score_std,score_p05,score_p95
synthetic,global_leave_one_out,False,,64,0,1.0,64,0.05597190256731402,0.13480014282275105,1.0753893575459692,-1.727129177698912,1.8570811780917793
synthetic,local_radius_32s,False,,64,0,1.0,64,0.10571584513387175,0.11656441699184224,1.3091102054250516,-1.8640956729888343,2.1497552893224077
synthetic,local_radius_64s,True,True,64,0,1.0,64,0.11555167565694935,0.20100964836876006,1.1476305720761388,-1.7116523180954815,2.133692132307707
synthetic,local_radius_96s,False,,64,0,1.0,64,0.08577561985197994,0.14809504506767207,1.1019065803088146,-1.7594063566772724,1.841383238402079
H1,global_leave_one_out,False,,62,0,1.0,62,-0.10487233979682974,-0.1950409558624781,1.771338648473037,-2.536376047644251,3.526100991737232
H1,local_radius_32s,False,,62,0,1.0,62,0.22337938748894035,-0.24701181166121675,9.069409545533986,-12.460963987107291,15.125930973951492
H1,local_radius_64s,True,False,62,0,1.0,62,0.0013862474831280644,-0.31203529659907864,9.424154774377522,-14.119520986904938,13.217298493797504
H1,local_radius_96s,False,,62,0,1.0,62,0.09587503474972339,0.029493777475936907,7.114469701262028,-10.688907724304805,10.20999603695053
L1,global_leave_one_out,False,,62,0,1.0,62,-0.3267206727841011,-0.2997067727609083,7.287998672576818,-11.825164357487505,10.155181304607192
L1,local_radius_32s,False,,62,0,1.0,62,0.12064969982410999,0.8255771924374324,12.28978608618795,-26.288027892701418,19.345096037905844
L1,local_radius_64s,True,False,62,0,1.0,62,0.4194273172455781,0.21683221084665766,8.826761462780176,-12.708155025298018,15.353790914088774
L1,local_radius_96s,False,,62,0,1.0,62,-0.09957597776491117,-0.09994730943704624,8.73842951531927,-14.62360405872167,14.468647021322868
