seed,m_orthonormality_error,max_principal_angle_deg,mean_principal_angle_deg,optimal_loss,rank,reconstruction_rmse,relative_gap,runs.direct_lbfgs.final_loss,runs.direct_lbfgs.m_orthonormality_error,runs.direct_lbfgs.max_principal_angle_deg,runs.direct_lbfgs.n_iter,runs.direct_lbfgs.optimality_gap,runs.direct_lbfgs.reconstruction_rmse_vs_empca,runs.direct_lbfgs.relative_gap,runs.whitened_lbfgs.final_loss,runs.whitened_lbfgs.m_orthonormality_error,runs.whitened_lbfgs.max_principal_angle_deg,runs.whitened_lbfgs.n_iter,runs.whitened_lbfgs.optimality_gap,runs.whitened_lbfgs.reconstruction_rmse_vs_empca,runs.whitened_lbfgs.relative_gap
0.0,5.925204993317834e-09,0.0,0.0,124.0340661718913,3.0,3.4228326918537904e-09,-1.1457219096169952e-16,124.03406617189128,5.925204993317834e-09,0.0,74.0,-1.4210854715202004e-14,3.4228326918537904e-09,-1.1457219096169952e-16,124.03406617189128,7.714628885603492e-10,0.0,27.0,-1.4210854715202004e-14,1.2844904328953388e-09,-1.1457219096169952e-16
1.0,7.018986281082107e-09,8.537736462515939e-07,8.537736462515939e-07,122.856903900291,3.0,4.289312245841224e-09,1.156699726596996e-16,122.85690390029102,7.018986281082107e-09,8.537736462515939e-07,76.0,1.4210854715202004e-14,4.289312245841224e-09,1.156699726596996e-16,122.85690390029099,3.9612280122724997e-10,0.0,30.0,-1.4210854715202004e-14,1.3816543882259538e-09,-1.156699726596996e-16
2.0,2.6527852803326368e-08,2.9575586669421963e-06,2.9575586669421963e-06,123.12307091871732,3.0,1.1004832416534468e-08,4.616796708907186e-16,123.12307091871737,2.6527852803326368e-08,2.9575586669421963e-06,73.0,5.684341886080802e-14,1.1004832416534468e-08,4.616796708907186e-16,123.12307091871732,5.866996000136737e-09,8.537736462515939e-07,29.0,0.0,1.0981610964983606e-09,0.0
3.0,5.06203303610051e-09,1.2074182697257333e-06,1.2074182697257333e-06,123.48199583105722,3.0,7.758776212724e-09,2.301688536787936e-16,123.48199583105725,5.06203303610051e-09,1.2074182697257333e-06,79.0,2.842170943040401e-14,7.758776212724e-09,2.301688536787936e-16,123.48199583105722,3.1285505297518057e-09,0.0,34.0,0.0,3.540872554449807e-10,0.0
4.0,9.76413155783617e-10,2.4148365394514667e-06,2.4148365394514667e-06,123.76145042161944,3.0,6.731741926417293e-09,1.1482456505470593e-16,123.76145042161946,9.76413155783617e-10,2.4148365394514667e-06,74.0,1.4210854715202004e-14,6.731741926417293e-09,1.1482456505470593e-16,123.76145042161946,4.475934733960685e-09,8.537736462515939e-07,31.0,1.4210854715202004e-14,1.7904501232459565e-09,1.1482456505470593e-16
5.0,1.9302582865421414e-09,2.4148365394514667e-06,2.4148365394514667e-06,123.61099364427456,3.0,7.887626559912532e-09,3.4489298151176764e-16,123.6109936442746,1.9302582865421414e-09,2.4148365394514667e-06,76.0,4.263256414560601e-14,7.887626559912532e-09,3.4489298151176764e-16,123.61099364427457,1.4396936975913377e-09,2.091309789151873e-06,30.0,1.4210854715202004e-14,2.748814968121369e-10,1.1496432717058922e-16
6.0,1.9776045134811682e-08,1.4787793334710982e-06,1.4787793334710982e-06,124.2272707902035,3.0,5.253987359706241e-09,1.1439400241836967e-16,124.22727079020352,1.9776045134811682e-08,1.4787793334710982e-06,76.0,1.4210854715202004e-14,5.253987359706241e-09,1.1439400241836967e-16,124.22727079020349,3.9958633032785847e-10,1.2074182697257333e-06,33.0,-1.4210854715202004e-14,5.365769011998551e-10,-1.1439400241836967e-16
7.0,9.485353422534487e-10,2.091309789151873e-06,2.091309789151873e-06,123.70974984163362,3.0,8.256514910070074e-09,1.148725523525345e-16,123.70974984163364,9.485353422534487e-10,2.091309789151873e-06,72.0,1.4210854715202004e-14,8.256514910070074e-09,1.148725523525345e-16,123.70974984163361,4.671988618198952e-08,1.7075472925031877e-06,23.0,-1.4210854715202004e-14,1.802870599288283e-09,-1.148725523525345e-16
8.0,3.993581084543574e-09,1.7075472925031877e-06,1.7075472925031877e-06,123.147583692321,3.0,3.993841687277828e-09,1.1539694315649115e-16,123.14758369232102,3.993581084543574e-09,1.7075472925031877e-06,76.0,1.4210854715202004e-14,3.993841687277828e-09,1.1539694315649115e-16,123.14758369232102,3.5673612952535905e-09,1.7075472925031877e-06,34.0,1.4210854715202004e-14,2.5667901562649618e-09,1.1539694315649115e-16
9.0,8.523578509667118e-09,3.7215130446689415e-06,3.7215130446689415e-06,124.80585081325036,3.0,1.1481929763061685e-08,4.554547602569051e-16,124.80585081325042,8.523578509667118e-09,3.7215130446689415e-06,71.0,5.684341886080802e-14,1.1481929763061685e-08,4.554547602569051e-16,124.80585081325036,2.1449073184463855e-09,8.537736462515939e-07,29.0,0.0,1.4168962548984285e-09,0.0
