seed,best_rank_by_clean_mse,clean_mse_by_rank.0,clean_mse_by_rank.1,clean_mse_by_rank.2,clean_mse_by_rank.3,clean_mse_by_rank.4,clean_mse_by_rank.5,n_test,of_amplitude_bias,of_weighted_residual,ranks.0,ranks.1,ranks.2,ranks.3,ranks.4,ranks.5,weighted_residual_by_rank.0,weighted_residual_by_rank.1,weighted_residual_by_rank.2,weighted_residual_by_rank.3,weighted_residual_by_rank.4,weighted_residual_by_rank.5
0.0,5.0,0.012688280163236585,0.004089878938345219,0.0017576508379072557,0.0016564653111501453,0.00162718783554396,0.001670296874500317,200.0,-0.1915846576737092,1.4566833374941746,1.0,2.0,3.0,4.0,5.0,6.0,1.239244437568882,1.126506785515529,1.0573538735853223,1.0237753472011724,1.0070171681038749,0.9986548337392646
1.0,4.0,0.01249223912493664,0.003321362032724644,0.002031656192621641,0.0017826128747778136,0.0018066884280138996,0.0018595634982735503,200.0,-0.18504330800699179,1.4252242239561779,1.0,2.0,3.0,4.0,5.0,6.0,1.2298421300603346,1.1107158478888715,1.0474886090395437,1.013306972096665,1.000745769484275,0.9922918075612194
2.0,5.0,0.014157436541049475,0.003705518642673794,0.0021383483191429915,0.0020430885310648893,0.0018616571250105968,0.0019076197018698799,200.0,-0.17231054490098963,1.3753753571092255,1.0,2.0,3.0,4.0,5.0,6.0,1.2351012850839218,1.089591916774576,1.036127400030322,1.009909109061371,0.9945373658885656,0.9849123798544329
3.0,5.0,0.012623364246805064,0.003918599455726466,0.0017562572663653731,0.0016634195408852031,0.001651900253120593,0.001743822508944587,200.0,-0.17255280176305768,1.3922669032830828,1.0,2.0,3.0,4.0,5.0,6.0,1.2330978445532998,1.1048358064119737,1.0486491124602773,1.0120163975855268,0.9987153120089125,0.9865496971052491
4.0,4.0,0.013802210670809565,0.0042525955134095255,0.0019519151360608536,0.001718660752357418,0.001770640965785162,0.001803524266315022,200.0,-0.18513315552846685,1.4285687949453012,1.0,2.0,3.0,4.0,5.0,6.0,1.2464980551818186,1.0974962991733965,1.0378548524061662,1.007965800168675,0.9948121510375124,0.9854931721915362
5.0,4.0,0.012669454443250475,0.0031312819931158357,0.0016518577964919434,0.0015394262583243432,0.0015784451643806043,0.0016214192629760962,200.0,-0.17919332943206673,1.3907023955167623,1.0,2.0,3.0,4.0,5.0,6.0,1.2361885874290732,1.108145208104258,1.0488423646323084,1.018806029773367,1.0031918750070343,0.9927160898262695
6.0,6.0,0.01432369830236604,0.0033224921963327576,0.002071839024843189,0.0018647885344371456,0.001843417720869742,0.0017908192586158212,200.0,-0.18682452137176536,1.468646359195303,1.0,2.0,3.0,4.0,5.0,6.0,1.2630724900009975,1.1331604187745108,1.065304224127201,1.033780657422432,1.0188540209457617,1.0081133252128338
7.0,4.0,0.013063160929136473,0.003050758013638628,0.0017491841320635838,0.0015402638010007948,0.0015804174359211854,0.0016459033402598502,200.0,-0.17338117422686822,1.4036630008815565,1.0,2.0,3.0,4.0,5.0,6.0,1.2362749346630069,1.1056610283684565,1.04316309182285,1.0171057805748314,1.0029474544634729,0.9922092320780704
8.0,4.0,0.013569845713427488,0.00444442164340757,0.002517392644624187,0.0020505607636501443,0.0021223784784533805,0.0021156389331163108,200.0,-0.18422746402655923,1.4182317663888353,1.0,2.0,3.0,4.0,5.0,6.0,1.2577134871844102,1.1306824910021334,1.0627515226632338,1.0267206204121637,1.0163991645125001,1.0042874725365345
9.0,5.0,0.013345277970241936,0.0035490924796400054,0.0020603933449740625,0.0019132409606128122,0.0018997892140898678,0.0019400728004510892,200.0,-0.18249579463964746,1.439223404718067,1.0,2.0,3.0,4.0,5.0,6.0,1.2494176240059642,1.1146781278550035,1.0547919226942337,1.0216245716912615,1.006929441534091,0.9962270307977499
