file,experiment_id,status,acceptance_angle_deg,acceptance_metric,amp_rmse,amplitude_model,empca_objective_decrease,empca_of_coeff_corr,experiment,n_traces,of_truth_corr,template_in_span_angle_deg,weighted_angle_deg,weighted_cosine,bias,corr,crb_sigma,noise_kind,rmse,sigma_over_crb,std,m_orthonormality_error,max_principal_angle_deg,mean_principal_angle_deg,optimal_loss,rank,reconstruction_rmse,relative_gap,empca_mse,empca_weighted_residual,held_out,n_test,pca_mse,pca_weighted_residual,pca_clean_mse_diagnostic,pca_nll_mean,pca_raw_residual_to_observed,pca_weighted_residual_to_observed,representation,subspace_angle_deg_max,weighted_pca_clean_mse_diagnostic,weighted_pca_nll_mean,weighted_pca_raw_residual_to_observed,weighted_pca_weighted_residual_to_observed,best_rank_by_clean_mse,of_amplitude_bias,of_weighted_residual,identity_sigma_over_oracle,oracle_sigma,mean_chi2_per_dof,std_chi2_per_dof,whitened_covariance_relative_error,whitened_lag1_autocorrelation,correlation_strength,diagonal_covariance_sigma,diagonal_over_full_sigma,diagonal_true_weighted_residual,full_covariance_sigma,full_true_weighted_residual
/Users/wongdowling/Documents/noise-weighted-subspace-reconstruction/results/metrics/S0_smoke_seed0.json,S0,smoke_passed,13.025780091122094,weighted_angle_deg,0.14280223638168307,real,0.0,0.9919368495234587,S0,96.0,0.8978561451514423,13.025780091122236,13.025780091122094,0.9742687499985904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/wongdowling/Documents/noise-weighted-subspace-reconstruction/results/metrics/S1_of_crb_seed1.json,S1,complete,,,,,,,S1,2048.0,,,,,0.003010783377972945,0.9700181616640222,0.0724572673211879,pink,0.07228558725328076,0.9970083097216539,0.07224049761894757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/wongdowling/Documents/noise-weighted-subspace-reconstruction/results/metrics/S2_of_empca_seed7.json,S2,complete,5.260288237197444,weighted_angle_deg,0.0676730270331014,real,0.0,0.9996874326373687,S2,512.0,0.9723978452630708,5.260288237197999,5.260288237197444,0.9957884811595635,,,,pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/wongdowling/Documents/noise-weighted-subspace-reconstruction/results/metrics/S3_ae_bridge_seed3.json,S3,complete,,,,,,,S3,,,,,,,,,,,,,5.071518144675324e-09,2.091309789151873e-06,2.091309789151873e-06,123.48199583105722,3.0,7.747799089380835e-09,2.301688536787936e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/wongdowling/Documents/noise-weighted-subspace-reconstruction/results/metrics/S4_white_control_seed4.json,S4,complete,,,,,,,S4,,,,,,,,,,,,,,1.2074182697257333e-06,,,,,,0.0024183928027035136,0.0024183928027035136,False,512.0,0.0024183928027035136,0.0024183928027035136,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/wongdowling/Documents/noise-weighted-subspace-reconstruction/results/metrics/S5_metric_reversal_seed19.json,S5,complete,,,,,,,S5,,,,,,,,,,,,,,,,,2.0,,,,,False,512.0,,,3161.050739391829,1007.9746982240449,2332.4182101995616,47.525835297054144,complex_rfft_real_imag_stacked,87.81442891766092,87.31904851696467,993.8127578155202,5406.0581332634465,46.858102219499614,,,,,,,,,,,,,,,
/Users/wongdowling/Documents/noise-weighted-subspace-reconstruction/results/metrics/S6_timing_jitter_rank_sweep_seed6.json,S6,complete,,,,,,,S6,,,,,,,,,,,,,,,,,,,,,,False,400.0,,,,,,,,,,,,,5.0,-0.1784641210732473,1.430632940439355,,,,,,,,,,,,
/Users/wongdowling/Documents/noise-weighted-subspace-reconstruction/results/metrics/S7_covariance_robustness_seed7.json,S7,complete,,,,,,,S7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7316523370740546,0.08866021384972488,,,,,,,,,,
/Users/wongdowling/Documents/noise-weighted-subspace-reconstruction/results/metrics/S8_residual_calibration_seed8.json,S8,complete,,,,,,,S8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9937080251997388,0.1293317840284905,0.5057927415124553,0.008271938688547947,,,,,,
/Users/wongdowling/Documents/noise-weighted-subspace-reconstruction/results/metrics/S9_multichannel_covariance_seed9.json,S9,complete,,,,,,,S9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.10832803628443677,1.095811506838525,0.9985139233667752,0.09885645077497769,0.9961353840517472
